,country,lon,lat
193,Japan,138.0308956,37.59230135
194,Liberia,-9.32207573,6.45278492
197,Malta,14.40523316,35.92149632
198,Marshall Islands,170.3397612,7.00376358
201,Niue,-169.8699468,-19.04945708
203,Palau,134.4080797,7.28742784
204,Panama,-80.11915156,8.51750797
209,Saint Vincent and the Grenadines,-61.20129695,13.22472269
2271,United Republic of Tanzania,34.81309981,-6.27565408
234,Costa Rica,-84.19208768,9.97634464
235,Cuba,-79.01605384,21.62289528
236,Dominica,-61.357726,15.4394702
237,Dominican Republic,-70.50568896,18.89433082
239,Guatemala,-90.36482009,15.69403664
241,Haiti,-72.68527509,18.93502563
244,Mexico,-102.5234517,23.94753724
247,Saint Lucia,-60.96969923,13.89479481
248,Saint Pierre and Miquelon,-56.30319779,46.91918789
250,Trinidad and Tobago,-61.26567923,10.45733408
255,Venezuela (Bolivarian Republic of),-66.18184123,7.12422421
259,"China, Macao SAR",113.5093212,22.22311688
261,Bangladesh,90.23812743,23.86731158
266,Congo,15.21965762,-0.83787463
276,Lao People's Democratic Republic,103.7377241,18.50217433
281,Mongolia,103.0529977,46.82681544
282,Nicaragua,-85.0305297,12.84709429
284,Pakistan,69.33957937,29.9497515
302,Aruba,-69.98267711,12.52088038
311,Albania,20.04983396,41.14244989
364,Algeria,2.61732301,28.15893849
371,Ecuador,-78.75201922,-1.42381612
373,Faroe Islands,-6.88095423,62.05385403
374,Finland,26.2746656,64.49884603
378,Greenland,-41.34191127,74.71051289
386,Libya,18.00866169,27.03094495
398,Syrian Arab Republic,38.50788204,35.02547389
412,Djibouti,42.5606754,11.74871806
443,Somalia,45.70714487,4.75062876
454,Latvia,24.91235983,56.85085163
459,Australia,134.4910001,-25.73288704
461,Wallis and Futuna Islands,-177.3483483,-13.88737039
467,Kyrgyzstan,74.54165513,41.46221943
486,British Virgin Islands,-64.47146992,18.52585755
490,Central African Republic,20.46826831,6.56823297
491,Chad,18.64492513,15.33333758
495,Comoros,43.68253968,-11.87783444
506,Equatorial Guinea,10.34137924,1.70555135
510,French Polynesia,-144.9049439,-14.72227409
526,Kenya,37.79593973,0.59988022
544,Niger,9.38545882,17.41912493
545,Nigeria,8.08943895,9.59411452
550,Palestine,35.19628705,31.91613893
569,Sudan,29.94046812,15.99035669
596,Botswana,23.79853368,-22.18403213
599,Cambodia,104.9069433,12.72004786
668,Zambia,27.77475946,-13.45824152
669,Zimbabwe,29.8514412,-19.00420419
697,El Salvador,-88.87164469,13.73943744
719,Bhutan,90.40188155,27.41106589
739,Myanmar,96.48843321,21.18566599
740,Nepal,83.9158264,28.24891365
853,Turkmenistan,59.37100021,39.11554137
857,Rwanda,29.91988515,-1.99033832
859,South Sudan,30.24790002,7.30877945
860,Uganda,32.36907971,1.27469299
1005,Cabo Verde,-23.9598882,15.95523324
1024,Eritrea,38.84617011,15.36186618
1026,Ethiopia,39.60080098,8.62278679
1037,Grenada,-61.68220189,12.11725044
1039,Guinea-Bissau,-14.94972445,12.04744948
1041,Honduras,-86.6151661,14.82688165
1071,Mozambique,35.53367543,-17.27381643
1088,Saint Kitts and Nevis,-62.68755265,17.2645995
1090,Sao Tome and Principe,6.72429658,0.44391445
1104,Suriname,-55.9123457,4.13055413
1121,Yemen,47.58676189,15.90928005
11251,American Samoa,-170.7180258,-14.30445997
1128,Cook Islands,-159.7872422,-21.21927288
1131,Kiribati,-45.61110513,0.86001503
1138,Samoa,-172.1648506,-13.75324346
1179,Afghanistan,66.00473366,33.83523073
1282,Northern Mariana Islands,145.6196965,15.82927563
1381,Eswatini,31.4819369,-26.55843045
1387,Lesotho,28.22723131,-29.58003188
1388,Malawi,34.28935599,-13.21808088
1397,"Saint Helena, Ascension and Tristan da Cunha",-9.54779416,-12.40355951
1662,Bolivia (Plurinational State of),-64.68538645,-16.70814787
1670,Colombia,-73.08114582,3.91383431
1692,Micronesia (Federated States of),158.18333,6.917
1698,Peru,-74.38242685,-9.15280381
1714,Turks and Caicos Islands,-71.97387881,21.83047572
1720,Netherlands Antilles (former),-68.9333,12.117
,Democratic People's Republic of Korea,125.75,39.1
,Sudan (former),32.53333,15.6333
,Falkland Islands,-57.85,-51.7
,Federal Republic of Yugoslavia,20.5,44.8
,Liechtenstein,9.521,47.141
,Guadeloupe,-61.51,16.24
,Puerto Rico,-66.06,18.4
,Réunion,55.5,-20.1
,French Guiana,-53,4
,Martinique,-61,14.667
,Czechoslovakia,14.4167,50.083
,CIP,-74.38242685,-9.15280381
