sovereignt,admin,adm0_a3,continent,region_un,subregion,region_wb,Longitude,Latitude
Niger,Niger,NER,Africa,Africa,Western Africa,Sub-Saharan Africa,9.38545882,17.41912493
Australia,Norfolk Island,NFK,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,167.9492168,-29.0514609
Nigeria,Nigeria,NGA,Africa,Africa,Western Africa,Sub-Saharan Africa,8.08943895,9.59411452
Nicaragua,Nicaragua,NIC,North America,Americas,Central America,Latin America & Caribbean,-85.0305297,12.84709429
New Zealand,Niue,NIU,Oceania,Oceania,Polynesia,East Asia & Pacific,-169.8699468,-19.04945708
Netherlands,Netherlands,NLD,Europe,Europe,Western Europe,Europe & Central Asia,5.28144793,52.1007899
Norway,Norway,NOR,Europe,Europe,Northern Europe,Europe & Central Asia,15.34834656,68.75015572
Nepal,Nepal,NPL,Asia,Asia,Southern Asia,South Asia,83.9158264,28.24891365
Nauru,Nauru,NRU,Oceania,Oceania,Micronesia,East Asia & Pacific,166.9325682,-0.51912639
New Zealand,New Zealand,NZL,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,171.4849235,-41.81113557
Oman,Oman,OMN,Asia,Asia,Western Asia,Middle East & North Africa,56.09166155,20.60515333
Pakistan,Pakistan,PAK,Asia,Asia,Southern Asia,South Asia,69.33957937,29.9497515
Panama,Panama,PAN,North America,Americas,Central America,Latin America & Caribbean,-80.11915156,8.51750797
United Kingdom,Pitcairn Islands,PCN,Oceania,Oceania,Polynesia,East Asia & Pacific,-128.317042,-24.36500535
Peru,Peru,PER,South America,Americas,South America,Latin America & Caribbean,-74.38242685,-9.15280381
Philippines,Philippines,PHL,Asia,Asia,South-Eastern Asia,East Asia & Pacific,122.8839325,11.77536778
Palau,Palau,PLW,Oceania,Oceania,Micronesia,East Asia & Pacific,134.4080797,7.28742784
Papua New Guinea,Papua New Guinea,PNG,Oceania,Oceania,Melanesia,East Asia & Pacific,145.2074475,-6.46416646
Poland,Poland,POL,Europe,Europe,Eastern Europe,Europe & Central Asia,19.39012835,52.12759564
United States of America,Puerto Rico,PRI,North America,Americas,Caribbean,Latin America & Caribbean,-66.47307604,18.22813055
North Korea,Democratic People's Republic of Korea,PRK,Asia,Asia,Eastern Asia,East Asia & Pacific,127.1924797,40.15350311
Portugal,Portugal,PRT,Europe,Europe,Southern Europe,Europe & Central Asia,-8.50104361,39.59550671
Paraguay,Paraguay,PRY,South America,Americas,South America,Latin America & Caribbean,-58.40013703,-23.22823913
Israel,Palestine,PSX,Asia,Asia,Western Asia,Middle East & North Africa,35.19628705,31.91613893
France,French Polynesia,PYF,Oceania,Oceania,Polynesia,East Asia & Pacific,-144.9049439,-14.72227409
Qatar,Qatar,QAT,Asia,Asia,Western Asia,Middle East & North Africa,51.18479632,25.30601188
Romania,Romania,ROU,Europe,Europe,Eastern Europe,Europe & Central Asia,24.97293039,45.85243127
Russia,Russian Federation,RUS,Europe,Europe,Eastern Europe,Europe & Central Asia,96.68656112,61.98052209
Rwanda,Rwanda,RWA,Africa,Africa,Eastern Africa,Sub-Saharan Africa,29.91988515,-1.99033832
Western Sahara,Western Sahara,SAH,Africa,Africa,Northern Africa,Middle East & North Africa,-12.21982755,24.22956739
Saudi Arabia,Saudi Arabia,SAU,Asia,Asia,Western Asia,Middle East & North Africa,44.53686271,24.12245841
Sudan,Sudan,SDN,Africa,Africa,Northern Africa,Sub-Saharan Africa,29.94046812,15.99035669
South Sudan,South Sudan,SDS,Africa,Africa,Eastern Africa,Sub-Saharan Africa,30.24790002,7.30877945
Senegal,Senegal,SEN,Africa,Africa,Western Africa,Sub-Saharan Africa,-14.4734924,14.36624173
Singapore,Singapore,SGP,Asia,Asia,South-Eastern Asia,East Asia & Pacific,103.8172559,1.35876087
United Kingdom,South Georgia and South Sandwich Islands,SGS,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Antarctica,-36.43318388,-54.46488248
United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",SHN,Seven seas (open ocean),Africa,Western Africa,Sub-Saharan Africa,-9.54779416,-12.40355951
Solomon Islands,Solomon Islands,SLB,Oceania,Oceania,Melanesia,East Asia & Pacific,159.6328767,-8.92178022
Sierra Leone,Sierra Leone,SLE,Africa,Africa,Western Africa,Sub-Saharan Africa,-11.79271247,8.56329593
El Salvador,El Salvador,SLV,North America,Americas,Central America,Latin America & Caribbean,-88.87164469,13.73943744
San Marino,San Marino,SMR,Europe,Europe,Southern Europe,Europe & Central Asia,12.45922334,43.94186747
Somaliland,Somaliland,SOL,Africa,Africa,Eastern Africa,Sub-Saharan Africa,46.25198395,9.73345496
Somalia,Somalia,SOM,Africa,Africa,Eastern Africa,Sub-Saharan Africa,45.70714487,4.75062876
France,Saint Pierre and Miquelon,SPM,North America,Americas,Northern America,North America,-56.30319779,46.91918789
Republic of Serbia,Serbia,SRB,Europe,Europe,Southern Europe,Europe & Central Asia,20.78958334,44.2215032
Sao Tome and Principe,Sao Tome and Principe,STP,Africa,Africa,Middle Africa,Sub-Saharan Africa,6.72429658,0.44391445
Suriname,Suriname,SUR,South America,Americas,South America,Latin America & Caribbean,-55.9123457,4.13055413
Slovakia,Slovakia,SVK,Europe,Europe,Eastern Europe,Europe & Central Asia,19.47905218,48.70547528
Slovenia,Slovenia,SVN,Europe,Europe,Southern Europe,Europe & Central Asia,14.80444238,46.11554772
Sweden,Sweden,SWE,Europe,Europe,Northern Europe,Europe & Central Asia,16.74558049,62.77966519
Swaziland,Eswatini,SWZ,Africa,Africa,Southern Africa,Sub-Saharan Africa,31.4819369,-26.55843045
Netherlands,Sint Maarten,SXM,North America,Americas,Caribbean,Latin America & Caribbean,-63.05713363,18.05081728
Seychelles,Seychelles,SYC,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa,55.47603279,-4.66099094
Syria,Syrian Arab Republic,SYR,Asia,Asia,Western Asia,Middle East & North Africa,38.50788204,35.02547389
United Kingdom,Turks and Caicos Islands,TCA,North America,Americas,Caribbean,Latin America & Caribbean,-71.97387881,21.83047572
Chad,Chad,TCD,Africa,Africa,Middle Africa,Sub-Saharan Africa,18.64492513,15.33333758
Togo,Togo,TGO,Africa,Africa,Western Africa,Sub-Saharan Africa,0.96232845,8.52531356
Thailand,Thailand,THA,Asia,Asia,South-Eastern Asia,East Asia & Pacific,101.0028813,15.11815794
Tajikistan,Tajikistan,TJK,Asia,Asia,Central Asia,Europe & Central Asia,71.01362631,38.5304539
Turkmenistan,Turkmenistan,TKM,Asia,Asia,Central Asia,Europe & Central Asia,59.37100021,39.11554137
East Timor,East Timor,TLS,Asia,Asia,South-Eastern Asia,East Asia & Pacific,125.8443898,-8.82889162
Tonga,Tonga,TON,Oceania,Oceania,Polynesia,East Asia & Pacific,-174.8098734,-20.42843174
Trinidad and Tobago,Trinidad and Tobago,TTO,North America,Americas,Caribbean,Latin America & Caribbean,-61.26567923,10.45733408
Tunisia,Tunisia,TUN,Africa,Africa,Northern Africa,Middle East & North Africa,9.55288359,34.11956246
Turkey,Turkey,TUR,Asia,Asia,Western Asia,Europe & Central Asia,35.16895346,39.0616029
Taiwan,"China, Taiwan Province of",TWN,Asia,Asia,Eastern Asia,East Asia & Pacific,120.9542728,23.7539928
United Republic of Tanzania,United Republic of Tanzania,TZA,Africa,Africa,Eastern Africa,Sub-Saharan Africa,34.81309981,-6.27565408
Uganda,Uganda,UGA,Africa,Africa,Eastern Africa,Sub-Saharan Africa,32.36907971,1.27469299
Ukraine,Ukraine,UKR,Europe,Europe,Eastern Europe,Europe & Central Asia,31.38326469,48.99656673
Uruguay,Uruguay,URY,South America,Americas,South America,Latin America & Caribbean,-56.01807053,-32.79951534
United States of America,United States of America,USA,North America,Americas,Northern America,North America,-112.4616737,45.6795472
Uzbekistan,Uzbekistan,UZB,Asia,Asia,Central Asia,Europe & Central Asia,63.14001528,41.75554225
Vatican,Vatican,VAT,Europe,Europe,Southern Europe,Europe & Central Asia,12.43387177,41.90174985
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,North America,Americas,Caribbean,Latin America & Caribbean,-61.20129695,13.22472269
Venezuela,Venezuela (Bolivarian Republic of),VEN,South America,Americas,South America,Latin America & Caribbean,-66.18184123,7.12422421
United Kingdom,British Virgin Islands,VGB,North America,Americas,Caribbean,Latin America & Caribbean,-64.47146992,18.52585755
United States of America,United States Virgin Islands,VIR,North America,Americas,Caribbean,Latin America & Caribbean,-64.80301538,17.95500624
Vietnam,Viet Nam,VNM,Asia,Asia,South-Eastern Asia,East Asia & Pacific,106.299147,16.6460167
Vanuatu,Vanuatu,VUT,Oceania,Oceania,Melanesia,East Asia & Pacific,167.6864464,-16.22640909
France,Wallis and Futuna Islands,WLF,Oceania,Oceania,Polynesia,East Asia & Pacific,-177.3483483,-13.88737039
Samoa,Samoa,WSM,Oceania,Oceania,Polynesia,East Asia & Pacific,-172.1648506,-13.75324346
Yemen,Yemen,YEM,Asia,Asia,Western Asia,Middle East & North Africa,47.58676189,15.90928005
South Africa,South Africa,ZAF,Africa,Africa,Southern Africa,Sub-Saharan Africa,25.08390093,-29.00034095
Zambia,Zambia,ZMB,Africa,Africa,Eastern Africa,Sub-Saharan Africa,27.77475946,-13.45824152
Zimbabwe,Zimbabwe,ZWE,Africa,Africa,Eastern Africa,Sub-Saharan Africa,29.8514412,-19.00420419
C»te d'Ivoire,C√¥te d'Ivoire,,,,,,-5.17,6.49
C»te d'Ivoire,CÙte d'Ivoire,,,,,,-5.17,6.49
,Christmas Island,,,,,,105.6,-10.4
,Timor-Leste,,,,,,125.56,-8.55
,Tuvalu,,,,,,179.2,-8.5
,Netherlands Antilles (former),,,,,,-68.9333,12.117
,Mayotte,,,,,,45.14,-12.84
,Sudan (former),,,,,,31.6,4.85
,Micronesia (Federated States of),,,,,,158.18333,6.917
,Gibraltar,,,,,,-5.35,36.1333
United Kingdom,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Europe,Northern Europe,Europe & Central Asia,-2.86563164,54.12387156
